comment_id,comment_text,author_name,author_channel_id,published_at,like_count,total_reply_count
UgzD6T0hoxw5r5koJXN4AaABAg,"Bang Aiman, setau saya kalau orang lagi di puncak emosi sah2 aja keluar kata2 yang kasar.. Jadi bukan katanya yang harusnya dikritisi tapi penyebab dia berkata begitu..",@octahizkia,UCvQp8X0lb6q8NkSzSziHDdw,2025-09-12T08:28:01Z,0,0
UgzueWJeElTzthtgVuF4AaABAg,Bravo TNI jaya🔥,@AliAlhamid-hy7hd,UCJzfxWDcuP61i_1jUABoryA,2025-09-12T08:15:22Z,0,0
UgwL8-rGLGuusbM6aJd4AaABAg,Semua kembali ke hukum sebab-akibat..,@octahizkia,UCvQp8X0lb6q8NkSzSziHDdw,2025-09-12T07:25:25Z,0,0
UgzzXBjhEmr1zr4_hBd4AaABAg,Ya beranilaaah buat undang2 penggajian nasional,@hanabikids7113,UCOrr2U-n_UJX_No2N1MTowA,2025-09-12T07:21:56Z,0,0
UgxUQot--0v0ziiBMcJ4AaABAg,"Demonstran = orang yang ikut demo✅

Perusuh = orang yang ikut rusuh❌
😂😂",@imanuelyourikarelino8573,UCHjx4O_dKlegAEE0tTqpi_A,2025-09-12T06:15:52Z,0,0
Ugze6f-yTr2jrJb2UPN4AaABAg,Kawal pengamat politik nya Jangan sampai di gondol penjahat semoga bung ipang sehat selalu beserta keluarga nya,@yogaprima_,UCodsWtQIvWwwP7LEOPO8OGA,2025-09-12T03:07:34Z,0,0
UgyTIFQknow08Xd9gHp4AaABAg,Ponto gak jelas bet,@najihaly3551,UCSwYzB4MmVbW9pfD2UdBoOg,2025-09-12T02:13:55Z,0,0
UgyKNnRVPK2f8SHP3rR4AaABAg,Boomer boomer lucu wkwkwwk,@PickyHaez,UC8O2SFe2Ae4GJZ67qLCmVvg,2025-09-12T01:23:58Z,0,0
Ugyos8MTpm_VMhJDrex4AaABAg,Pendukung jangan terlalu sensitif.yg ngedukung masuk penjara yg di dukung jadi menteri😅,@rumaniabesuki8979,UCMp7zTzPxc4Bck5UkfVRXPw,2025-09-11T23:19:20Z,0,0
UgzzE6J019y_qjUvmB54AaABAg,"“Berarti klo rakyat ikut rusuh ga bisa diproses hukum dong, karna dia bukan perusuh”
“Iya, dia kn ikut”  “oke” 👏🏻👏🏻👏🏻
Mahasiswanya garuk2 kepala 😅
Sabar sekali adik2",@melaneyzain2923,UCExGp9wbSR0q4sBubWt6IWw,2025-09-11T20:28:12Z,2,0
UgxhJncFplgkCS4DQdh4AaABAg,Aiman tidak imbang,@tember9276,UCaytPacAmsdKtHLo1-F2mHA,2025-09-11T17:57:07Z,0,0
UgyC8fK7q6MQlLyhs-14AaABAg,Acara iman gak imbang,@tember9276,UCaytPacAmsdKtHLo1-F2mHA,2025-09-11T17:56:22Z,0,0
UgyZSpYGoy-DIHNid2N4AaABAg,Uwak uwak pekokkk😂😂,@Barletkosasi123,UCf97i3XbqwwsDcT9blUQOiw,2025-09-11T17:32:30Z,0,0
UgyZy9_EIQEdD3ZHbix4AaABAg,Mas Bud sip,@astadipangarso,UCgfPn5iwOidhkZPqyWwQTsQ,2025-09-11T16:44:09Z,0,0
UgweVPu5XDZ-nYL60sp4AaABAg,2:03:13 ini dicut kali ya lanjutannya? 😂,@faqirilmu6691,UCII4YQS8kDUbF2p0-pALwZQ,2025-09-11T16:25:48Z,0,0
UgwU_bDUjNTvsTxjyJ94AaABAg,2 jam bang Ferry di pojokan secara tidak langsung 🙈,@amiknur3980,UC_yHC9DC9qUmJ6qKl5Gy5sQ,2025-09-11T16:05:33Z,0,0
UgxaVcUsVuv8t-G5OPJ4AaABAg,AS Punya SDA apa ya? 😅😅😅,@Yuminification,UCbLuoGhUf1vFACl0TAlZR5w,2025-09-11T15:05:42Z,0,0
UgyYa2onhh8XRc1rl_94AaABAg,"Name: Ferry Irwandi
Role: All Role
Squad: Malaka Project
Winrate: 100%",@misteriyan94,UCJQdv4a_oIsZY67TQfQdwnw,2025-09-11T14:57:11Z,0,0
UgxZUi-MOSbovTvK_PZ4AaABAg,"andaikan bung Rocky Gerung ikut dalam acara ini ,, pasti akan lebihhhh waooo",@JonlykrismanTambunan,UCUbC6DNapyOPyxYF9YaZXwA,2025-09-11T14:25:59Z,0,0
UgyDBzFHpQs1PYwq76Z4AaABAg,"Kok Anda Justru Ngga Merasa Bersukur Dapat Tabungan 1M Dari Hasil Keringat Rakyat Yg Membantu Mendukung Anda dan Di Bayar Gaji Lagi Sama Rakyat. 

Ciri Manusia Yg Serakah. Ini ni.",@AlexAlex-m6u8l,UCEpAzasUm1Z0R1FqPxxIbYQ,2025-09-11T13:55:48Z,0,0
UgxkfP3OBepXioeatKp4AaABAg,Generasi muda sekarang lebih kritis dngan apa yg sedang menimpa rakyat & negara,@novanbusik24,UCQlf3P2SmIvFAQ3Pp_8gtiQ,2025-09-11T12:47:40Z,0,0
Ugy13ZkOlTpPSIvr3fZ4AaABAg,Ferry: “Han Solo” 😭😭😭,@rositarahmah4133,UCFT8Oq0wf6qhw2znG6zQRRw,2025-09-11T12:06:57Z,0,0
Ugwv3OngICCKa42Zds54AaABAg,gini amat dengerin boomer ngomong,@dominanceice9,UCnJyoLgD8Vg_ZiHwbUd17OA,2025-09-11T12:01:53Z,0,0
UgyJbtDHQER8VdhWUDV4AaABAg,"Sayangnya di tunggangi propokator"" 😂",@PajarWibowo,UCx2XcaZ-8T6Hcge1cJXfyBA,2025-09-11T11:10:21Z,0,0
UgyA_w2r50Zt5V0WS5B4AaABAg,Aiman ini kebiasaan motong orang ngomong,@rigeladhitya1953,UCi6R_nLS29hPvnwjHL1Tz-w,2025-09-11T08:07:31Z,0,0
UgzsDaY3sqJeJ2_yyR94AaABAg,"Bapak"" ini banyak ngarang.
Manusia tu punya emosi dan ego apa ya seperti BPK bilang bener...deh hadeh",@bahasanxin,UCKZBkXBtqF_kadlbB1qCZmw,2025-09-11T07:58:25Z,0,0
UgyWsrIMPwTsvgW_ejJ4AaABAg,Akhirnya nemu tandai balik lagi mau nnyimak,@RieRieRrrrr,UCRs2E7fsslHtlSoPzINbw1g,2025-09-11T07:49:21Z,1,0
UgwPN-rXK1c2bQ4qaKV4AaABAg,knpa dpr yang ngambil uang rakyat masih banyak yang tidak di kembalikan,@Ryzen14-b7k,UCF8rVY48y4rF74x-zkUnfcw,2025-09-11T06:43:39Z,0,0
UgwUwBH71jqngRL_JhZ4AaABAg,Tolong...DPR..Jangan se- olah2 menjadi PENGUSA NEGARA..Kalian mewakili RAKYAT..Jangan se- akan2 Menjajah mentang2 jadi  Pejabat Ingat...kalian ditunjuk oleh  MASYARAKAT......????,@syafirautami9693,UCtdk3hX3D29zRkljKkdjLcg,2025-09-11T06:43:34Z,0,0
